Node_ID,In_Degree,Out_Degree,Total_Degree
2,28200,292,28492
50,256,20480,20736
10,14889,1424,16313
8,11922,1205,13127
1625,8593,2699,11292
5,397,9934,10331
23,9100,366,9466
4,7549,827,8376
43,7981,383,8364
1627,6051,1751,7802
38,6823,674,7497
44,5992,1195,7187
133,5209,1587,6796
20,5604,1133,6737
99,5316,1320,6636
70,6022,482,6504
67,4804,1112,5916
83,3332,2311,5643
217,3533,1898,5431
12,4524,119,4643
22,4132,56,4188
26,3264,805,4069
75,3668,260,3928
7,208,3459,3667
48,2422,1175,3597
56,2992,569,3561
2151,1577,1778,3355
263,311,2901,3212
92,340,2751,3091
128,2235,777,3012
272,1661,1119,2780
13,1967,760,2727
112,2489,88,2577
459,2167,388,2555
150,2423,123,2546
152,2156,378,2534
24,2317,170,2487
153,2043,437,2480
317,2257,43,2300
179,1938,346,2284
712,2217,36,2253
96,1278,970,2248
88,1282,948,2230
11,1214,850,2064
466,1973,27,2000
834,1578,399,1977
30,1051,915,1966
4570,1919,35,1954
1669,1465,382,1847
14,1318,503,1821
155,1284,483,1767
261,1146,532,1678
58256,309,1296,1605
19,1056,450,1506
52,762,735,1497
248,23,1445,1468
213,1308,159,1467
31,994,454,1448
1039,712,723,1435
76,1006,422,1428
1642,1013,371,1384
9753,614,647,1261
80352,387,865,1252
40,847,399,1246
784,1204,24,1228
17,768,456,1224
53,941,267,1208
1649,465,696,1161
538,1112,9,1121
143,196,922,1118
27,464,650,1114
79115,0,1095,1095
25,616,444,1060
18375,927,80,1007
293,620,369,989
348,482,504,986
232,641,297,938
221,546,377,923
6,715,199,914
64,544,363,907
97,332,572,904
146,419,463,882
62,443,439,882
124,428,450,878
10463,843,31,874
15,266,601,867
95,328,532,860
177,427,432,859
367,454,402,856
9,270,582,852
81,408,444,852
228,314,537,851
80,397,452,849
113,528,315,843
347,658,178,836
574,807,24,831
49,767,53,820
3228,782,35,817
85,399,415,814
446,214,597,811
42,163,630,793
382,337,453,790
266,585,192,777
1152,35,734,769
1,348,418,766
136,74,690,764
126,400,362,762
717,749,13,762
436,335,427,762
103,334,428,762
