Node_ID,In_Degree,Out_Degree,Total_Degree
2,30152,348,30500
10,19337,2616,21953
8,14497,3294,17791
4,10736,1382,12118
43,10886,515,11401
38,10062,883,10945
23,9624,504,10128
22,10014,55,10069
5,543,9179,9722
20,8109,1570,9679
99,7776,1869,9645
44,7798,1602,9400
133,7400,1860,9260
67,7313,1604,8917
70,7993,562,8555
83,4594,2878,7472
12,6969,131,7100
217,4681,2336,7017
56,5791,833,6624
75,5695,301,5996
48,3786,1663,5449
26,4321,940,5261
150,4214,23,4237
155,3343,696,4039
213,3372,316,3688
13,2736,892,3628
24,3365,202,3567
263,311,3067,3378
112,3227,108,3335
712,2975,44,3019
92,267,2699,2966
272,1672,1226,2898
7,400,2486,2886
52,1630,1169,2799
53,1785,965,2750
14,2011,723,2734
11,1744,852,2596
459,2106,475,2581
96,1561,991,2552
152,2030,472,2502
195,2100,393,2493
168,1564,916,2480
19,1941,520,2461
382,1578,880,2458
31,1947,486,2433
834,1887,492,2379
30,1171,1115,2286
148,2005,278,2283
17,1558,721,2279
784,2201,17,2218
88,1341,861,2202
48771,1949,19,1968
4195,308,1628,1936
261,1318,569,1887
15,764,1053,1817
77,619,1145,1764
42,680,1011,1691
8036,483,1128,1611
27,731,814,1545
819,499,889,1388
40,842,544,1386
519,1128,226,1354
8911,133,1211,1344
491,1126,180,1306
64,804,498,1302
348,666,635,1301
1551,620,649,1269
13746,299,963,1262
436,743,507,1250
103,627,585,1212
480,546,647,1193
315,309,859,1168
81,623,515,1138
16,536,584,1120
48786,0,1097,1097
48791,0,1097,1097
48802,0,1096,1096
48765,0,1096,1096
2069,250,845,1095
4065,380,699,1079
541,910,158,1068
113,720,337,1057
60,538,493,1031
4500,857,167,1024
246,674,344,1018
98,500,517,1017
674,474,526,1000
143,187,810,997
420,422,571,993
367,554,438,992
934,791,200,991
39,493,493,986
95,403,579,982
177,540,436,976
62,558,415,973
1481,100,870,970
107,449,521,970
34,398,565,963
225,769,191,960
306,432,524,956
136,132,818,950
76,346,598,944
33,874,69,943
291,402,540,942
228,386,548,934
824,116,814,930
341,212,713,925
80,459,461,920
620,852,66,918
233,775,125,900
3704,304,594,898
93,488,402,890
45,332,553,885
332,192,684,876
131,564,310,874
1459,182,686,868
356,160,706,866
761,825,34,859
9,288,568,856
186,708,143,851
289,373,474,847
36,238,603,841
86,362,478,840
1,299,534,833
10971,198,634,832
266,644,184,828
207,713,115,828
635,383,443,826
172,420,406,826
463,416,410,826
3,202,616,818
193,461,357,818
311,225,587,812
1152,72,740,812
252,361,450,811
144,272,539,811
269,154,657,811
413,715,91,806
206,284,520,804
18,722,77,799
85,393,403,796
1589,588,208,796
41,350,440,790
6,672,116,788
2201,189,598,787
25,342,441,783
352,353,426,779
164,343,428,771
124,293,477,770
383,142,628,770
1403,749,12,761
58,261,498,759
97,300,456,756
223,342,412,754
371,151,603,754
503,495,252,747
1793,608,135,743
353,237,502,739
189,227,512,739
801,537,202,739
72,189,549,738
181,141,596,737
938,719,18,737
116,185,552,737
717,723,10,733
105,99,632,731
1832,192,537,729
123,126,600,726
226,263,463,726
2774,587,138,725
1820,716,7,723
1077,571,151,722
37,339,381,720
6709,213,503,716
126,398,317,715
135,228,486,714
134,390,319,709
90,323,385,708
1259,148,555,703
46,205,493,698
245,185,509,694
1101,565,128,693
170,136,555,691
254,296,394,690
154,249,441,690
185,141,545,686
78,166,518,684
425,287,396,683
1959,162,518,680
115,156,521,677
376,185,492,677
1703,196,477,673
1269,550,123,673
101,180,493,673
35,483,189,672
102,332,337,669
337,195,473,668
1733,79,589,668
294,312,353,665
50,275,389,664
375,259,403,662
334,524,136,660
319,248,412,660
404,205,454,659
183,257,399,656
345,630,23,653
407,161,492,653
1366,53,598,651
220,179,472,651
4642,267,383,650
299,122,528,650
504,268,382,650
65,280,370,650
305,131,518,649
8832,69,580,649
418,315,333,648
121,307,341,648
512,312,335,647
627,511,136,647
1226,6,640,646
3029,532,114,646
202,126,520,646
212,159,486,645
68,142,502,644
468,242,400,642
328,266,374,640
161,248,390,638
21,137,500,637
128,271,366,637
180,140,496,636
471,530,105,635
415,330,303,633
377,299,334,633
29,265,367,632
1343,179,451,630
438,256,374,630
208,238,390,628
339,232,395,627
665,496,131,627
287,131,495,626
117,131,495,626
55,147,478,625
429,124,500,624
285,137,486,623
160,227,396,623
218,452,170,622
242,318,303,621
243,130,490,620
158,124,496,620
138,342,277,619
796,511,107,618
91,123,495,618
259,126,492,618
320,122,495,617
169,246,371,617
129,155,461,616
108,202,412,614
771,503,111,614
430,131,483,614
267,123,489,612
360,240,371,611
687,549,61,610
262,124,485,609
610,504,105,609
119,129,480,609
229,121,487,608
187,125,483,608
182,124,482,606
215,117,489,606
331,125,481,606
279,506,100,606
234,117,487,604
171,118,486,604
308,119,484,603
3104,167,436,603
301,116,486,602
344,181,420,601
426,115,486,601
4441,173,427,600
191,115,485,600
284,408,191,599
241,120,478,598
111,173,424,597
347,584,13,597
51,180,417,597
794,145,451,596
949,457,139,596
419,244,352,596
403,117,478,595
2215,116,479,595
637,98,496,594
222,127,467,594
445,250,343,593
340,121,472,593
500,477,116,593
283,119,474,593
594,285,307,592
63,370,221,591
257,123,468,591
380,269,319,588
192,81,507,588
32,178,407,585
197,237,348,585
141,117,466,583
244,244,335,579
1869,391,183,574
615,455,119,574
174,193,381,574
66,515,59,574
227,126,448,574
118,333,240,573
321,242,331,573
221,178,394,572
146,243,329,572
87,252,320,572
904,198,373,571
362,177,393,570
7219,117,453,570
167,243,327,570
48826,475,93,568
2063,170,398,568
74,183,384,567
48834,466,101,567
2355,561,5,566
210,245,321,566
21011,105,457,562
151,219,343,562
166,239,322,561
381,237,324,561
204,237,323,560
176,275,285,560
11079,170,387,557
374,454,103,557
25302,55,501,556
251,161,393,554
89,172,381,553
130,150,402,552
390,184,367,551
428,240,311,551
276,237,314,551
14593,58,492,550
142,244,305,549
1518,136,411,547
357,323,220,543
961,410,132,542
412,233,309,542
61,469,72,541
414,157,382,539
411,161,378,539
253,149,390,539
231,164,375,539
698,161,375,536
1693,409,127,536
1292,67,469,536
274,154,381,535
270,159,374,533
358,115,413,528
3362,135,392,527
280,157,368,525
1507,412,112,524
449,175,349,524
1487,79,445,524
48868,421,102,523
106,346,177,523
3191,112,410,522
1796,393,128,521
137,121,397,518
73,221,296,517
3042,120,397,517
48766,442,74,516
326,240,274,514
1410,37,474,511
4233,433,77,510
322,459,47,506
188,126,378,504
8577,79,422,501
439,279,222,501
1305,186,314,500
410,96,403,499
1827,147,350,497
260,241,255,496
728,124,367,491
384,228,263,491
469,437,53,490
209,267,223,490
433,241,249,490
2693,45,445,490
178,281,205,486
310,418,68,486
20795,33,449,482
531,268,214,482
94,256,221,477
1237,394,82,476
15942,57,419,476
114,457,18,475
907,392,82,474
3948,212,261,473
747,398,74,472
49,435,36,471
7164,198,271,469
816,391,77,468
1787,116,351,467
2752,354,112,466
48783,8,451,459
2524,275,182,457
179,153,303,456
163,312,142,454
427,251,202,453
109,259,192,451
48797,36,415,451
